,emb_id,data_type,ImageBind_PCA_x,ImageBind_PCA_y,ImageBind_UMAP_x,ImageBind_UMAP_y,ImageBind_TSNE_x,ImageBind_TSNE_y
226,26,audio,-0.061764899756638965,0.45695695046349094,6.3144903,4.674277,0.22701182505401604,-4.1811094737594825
227,27,audio,-0.06727598148310548,0.1886719255283824,8.897209,7.043972,-4.0861902433275334,3.6740517187170902
228,28,audio,-0.08429319088465279,0.5481222810009941,6.367341,4.5490003,0.3985140117496612,-3.6533558635518544
229,29,audio,-0.08383678869323492,0.5623732737599665,5.9073186,5.3458023,1.0439084786934953,-6.38428830376241
230,30,audio,-0.046721791140601016,0.46860346777509587,7.8186207,6.3093805,-1.0636628146186056,-0.9058246562130728
231,31,audio,-0.0686841705828512,0.325346898025331,8.108913,5.6916733,-4.932948214007238,-2.183178123538563
232,32,audio,-0.08283685849514617,0.24570478884002972,8.190965,7.012365,-1.6906282767618765,3.7740593836345804
233,33,audio,-0.03849099685275494,0.2460858065678804,7.903973,6.7150807,-0.49857112712446433,0.9863226767671741
234,34,audio,-0.09176567032544143,0.3065318455353403,6.7286277,5.28018,-2.3980071045684537,-4.391006346927338
235,35,audio,-0.08405253161347387,0.41912652531030997,7.974773,6.383571,-2.02446452801405,-0.7639374312907837
236,36,audio,-0.02013013914110956,0.2347646280152518,8.908833,7.3141036,1.0473526868194638,3.3760543396426317
237,37,audio,0.0009936413553842038,0.30170884153247823,8.127336,5.5580673,-5.285873614845582,-2.7150297673311656
238,38,audio,-0.07083267585822736,0.5561923533798682,6.0642643,5.623502,0.6267862436287133,-7.19851749424003
239,39,audio,-0.10926327847594663,0.5990629747650594,5.903458,5.9338827,-0.36449793705320904,-8.002367236229903
